Date,Time,Views,Likes,Comments,Caption,Hashtags
30-01-2021,10:22:33,2587621,161264,421,"#reels : Bade Kaam Ki Hai 🤟 
LIKE & Follow for More #Tips & #Tricks
.
.
.
.
.
.
#Tech #technology #Gadgets #technology #websites #Hacks #TechnologyGyan #manojsaru #TechGyan","#reels, #Tips, #Tricks, #Tech, #technology, #Gadgets, #technology, #websites, #Hacks, #TechnologyGyan, #manojsaru, #TechGyan"
28-01-2021,12:39:40,222490,21315,187,"Siri Bura Maan Gayi Bhai 😅😅🤟 #siri 
.
.
.
.
.
.
#Internet #Siri #HeySiri #iphone #Tech #TechnologyGyan #manojsaru","#siri, #Internet, #Siri, #HeySiri, #iphone, #Tech, #TechnologyGyan, #manojsaru"
27-01-2021,14:23:54,0,16225,604,"Batao Konse Phone Se Click Ki Hai 😁
Correct Answer Pe Heart Dunga ❤️
.
.
.
.
.
.
#photography #mobilephotography #TechnologyGyan #manojsaru","#photography, #mobilephotography, #TechnologyGyan, #manojsaru"
25-01-2021,10:26:19,254216,23633,212,"Bas ab Thanks mat Bolna Video Like Kardena 😁😅 
.
.
.
.
.
.
#Shorts #Reels #Tech #wifi #TechnologyGyan #ManojSaru #password #Mobile #Android #iPhone #Gadgets #Tips #tricks","#Shorts, #Reels, #Tech, #wifi, #TechnologyGyan, #ManojSaru, #password, #Mobile, #Android, #iPhone, #Gadgets, #Tips, #tricks"
22-01-2021,14:38:30,137979,13028,68,"₹200 mein Kaam Ho Jayega #jugaad 😅😂 🤟
.
.
.
.
.
.
.
.
.
#iphone #iphonecracked #iphone12 #howto #Tech #jugaad #TechnologyGyan #ManojSaru #reels #Tips #tricks","#jugaad, #iphone, #iphonecracked, #iphone12, #howto, #Tech, #jugaad, #TechnologyGyan, #ManojSaru, #reels, #Tips, #tricks"
21-01-2021,13:23:19,1751302,118041,239,"Android wale Bhi Jaan Lo Kaam Aayega 😅😂 
.
.
.
.
.
.
.
.

#iphone #tips #Tricks #android #reels #Tech #technology #appleiphone #Gadgets #TechGyan #TechnologyGyan #ManojSaru","#iphone, #tips, #Tricks, #android, #reels, #Tech, #technology, #appleiphone, #Gadgets, #TechGyan, #TechnologyGyan, #ManojSaru"
21-01-2021,07:29:14,993820,92074,305,"Most dangerous Virus 😅😂
.
.
.
.
.
.
.
.
 #facts #technology #computer #didyouknow #Reels #Facts #TechnologyGyan #ManojSaru","#facts, #technology, #computer, #didyouknow, #Reels, #Facts, #TechnologyGyan, #ManojSaru"
20-01-2021,14:12:43,114568,9638,42,"Mobile Photography Tips 📸 
.
.
.
.
.
.
.

#mobilephotography #photography #Camera #technology #technologygyan #reels #ManojSaru #Tips #howto","#mobilephotography, #photography, #Camera, #technology, #technologygyan, #reels, #ManojSaru, #Tips, #howto"
18-01-2021,09:04:03,97965,7758,84,"Full Unboxing Video is out on Technology Gyan Youtube Channel 🎥

.
.
.
.
.
.
.
.
#ManojSaru #technologygyan #Unboxing #opporeno5pro #Tech #5G #smartphone #technology","#ManojSaru, #technologygyan, #Unboxing, #opporeno5pro, #Tech, #5G, #smartphone, #technology"
13-01-2021,12:10:05,53891,11186,203,#bloopers : 😂😅 😅😂 #TechnologyGyan #bts #funnyvideos #youtuber,"#bloopers, #TechnologyGyan, #bts, #funnyvideos, #youtuber"
11-01-2021,13:01:43,593710,24999,183,"😂Youtubers Ka Real Jaanu 👉🎥 
—————————————————
#Tech #youtuber #Camera #dslr #Techgyan #ManojSaru #Technologygyan","#Tech, #youtuber, #Camera, #dslr, #Techgyan, #ManojSaru, #Technologygyan"
10-01-2021,13:59:17,0,19422,205,Outdoor shoot Mein aaj Chote Se Cute Fan Se Mila 😍😍 He’s too Cute but Bahut Chalu hai 😅😅 Kehta hai Thumbnail Mein Meri Photo Laga dena 😂😂,
10-01-2021,06:19:02,44404,7330,69,"Wooow thank you so @samsungindia 😍 can’t wait for the #SamsungEvent on 14th January, 2021
🔥🔥🔥✌️✌️✌️
.
.
.
.
.
.
.
.
.
.
.
.
 #Samsung #Tech #galaxyunpacked #samsungs21ultra #gadgets #TechnologyGyan #ManojSaru #techgyan","#SamsungEvent, #Samsung, #Tech, #galaxyunpacked, #samsungs21ultra, #gadgets, #TechnologyGyan, #ManojSaru, #techgyan"
05-01-2021,15:43:20,94069,10757,84,#5G #Smartphone #snapdragon #Phone #BudgetPhone #TechnologyGyan #ManojSaru #TechGyan,"#5G, #Smartphone, #snapdragon, #Phone, #BudgetPhone, #TechnologyGyan, #ManojSaru, #TechGyan"
19-12-2020,16:14:08,0,22638,484,"8M Gyan Family on YT 😭❤️😘
I Love You 80,00,000 ❤️❤️",
13-12-2020,14:01:18,0,16037,479,"Konsa Better Hai Pic 1 or 2 ??😁
Thanks @siddharth_world  For This Amazing #VectorArt",#VectorArt
09-12-2020,16:24:27,0,25726,535,Ready For Wedding But Mask Jaruri hai 😷kaisa Lag raha hu 😬😬 #Wedding #saftey,"#Wedding, #saftey"
07-12-2020,13:30:27,42698,9617,133,Stay Alert ⚠️⚠️🌚🌚 #DarkWeb #Tech #TechGyan #technews #TechnologyGyan #manojsaru #Shorts #reels,"#DarkWeb, #Tech, #TechGyan, #technews, #TechnologyGyan, #manojsaru, #Shorts, #reels"
29-11-2020,13:42:05,143539,14210,76,Did You Know 😳😳 #reels #Tech #TechGyan #ManojSaru,"#reels, #Tech, #TechGyan, #ManojSaru"
27-11-2020,15:54:31,0,20940,298,Do Not Forget to Enjoy Your #LIFE while chasing Your Dreams 😎😎,#LIFE
14-11-2020,15:53:22,0,27003,403,दीपावली की हार्दिक शुभकामनाएं💥 #TechGyan Family #happydiwali🎉,"#TechGyan, #happydiwali"
31-10-2020,14:21:05,46355,10427,171,"Aakhir WiFi Ka Naam Wifi Kyo Hai 😅😅 .
.
.
.
.
.
.
.
.
.
.
.
.#Wifi #Tech #reels #TechnologyGyan #ManojSaru","#Wifi, #Tech, #reels, #TechnologyGyan, #ManojSaru"
